round,match_number,player1_seed,player2_seed,next_match,quadrant,quadrant_match_num
play_in,1,53,76,round_2-15,4,2
play_in,2,54,75,round_2-11,3,2
play_in,3,55,74,round_2-7,2,2
play_in,4,56,73,round_2-3,1,2
play_in,5,57,72,round_2-16,1,3
play_in,6,58,71,round_2-12,2,3
play_in,7,59,70,round_2-8,3,3
play_in,8,60,69,round_2-4,4,3
play_in,9,61,68,round_2-13,4,1
play_in,10,62,67,round_2-9,3,1
play_in,11,63,66,round_2-5,2,1
play_in,12,64,65,round_2-1,1,1
round_2,1,33,TBD,round_3-1,1,4
round_2,2,48,49,round_3-2,1,5
round_2,3,41,TBD,round_3-3,1,6
round_2,4,37,TBD,round_3-4,4,7
round_2,5,34,TBD,round_3-5,2,4
round_2,6,47,50,round_3-6,2,5
round_2,7,42,TBD,round_3-7,2,6
round_2,8,38,TBD,round_3-8,3,7
round_2,9,35,TBD,round_3-9,3,4
round_2,10,46,51,round_3-10,3,5
round_2,11,43,TBD,round_3-11,3,6
round_2,12,39,TBD,round_3-12,2,7
round_2,13,36,TBD,round_3-13,4,4
round_2,14,45,52,round_3-14,4,5
round_2,15,44,TBD,round_3-15,4,6
round_2,16,40,TBD,round_3-16,1,7
round_3,1,32,TBD,round_4-1,1,8
round_3,2,17,TBD,round_4-2,1,9
round_3,3,24,TBD,round_4-3,1,10
round_3,4,28,TBD,round_4-4,4,11
round_3,5,31,TBD,round_4-5,2,8
round_3,6,18,TBD,round_4-6,2,9
round_3,7,23,TBD,round_4-7,2,10
round_3,8,27,TBD,round_4-8,3,11
round_3,9,30,TBD,round_4-9,3,8
round_3,10,19,TBD,round_4-10,3,9
round_3,11,22,TBD,round_4-11,3,10
round_3,12,26,TBD,round_4-12,2,11
round_3,13,29,TBD,round_4-13,4,8
round_3,14,20,TBD,round_4-14,4,9
round_3,15,21,TBD,round_4-15,4,10
round_3,16,25,TBD,round_4-16,1,11
round_4,1,1,TBD,sweet_16-1,1,12
round_4,2,16,TBD,sweet_16-1,1,13
round_4,3,9,TBD,sweet_16-2,1,14
round_4,4,5,TBD,sweet_16-4,4,15
round_4,5,2,TBD,sweet_16-8,2,12
round_4,6,15,TBD,sweet_16-8,2,13
round_4,7,10,TBD,sweet_16-7,2,14
round_4,8,6,TBD,sweet_16-5,3,15
round_4,9,3,TBD,sweet_16-6,3,12
round_4,10,14,TBD,sweet_16-6,3,13
round_4,11,11,TBD,sweet_16-5,3,14
round_4,12,7,TBD,sweet_16-7,2,15
round_4,13,4,TBD,sweet_16-3,4,12
round_4,14,13,TBD,sweet_16-3,4,13
round_4,15,12,TBD,sweet_16-4,4,14
round_4,16,8,TBD,sweet_16-2,1,15
sweet_16,1,TBD,TBD,elite_8-1,1,16
sweet_16,2,TBD,TBD,elite_8-1,1,17
sweet_16,3,TBD,TBD,elite_8-2,4,16
sweet_16,4,TBD,TBD,elite_8-2,4,17
sweet_16,5,TBD,TBD,elite_8-3,3,16
sweet_16,6,TBD,TBD,elite_8-3,3,17
sweet_16,7,TBD,TBD,elite_8-4,2,16
sweet_16,8,TBD,TBD,elite_8-4,2,17
elite_8,1,TBD,TBD,final_four-1,1,18
elite_8,2,TBD,TBD,final_four-1,4,18
elite_8,3,TBD,TBD,final_four-2,3,18
elite_8,4,TBD,TBD,final_four-2,2,18
final_four,1,TBD,TBD,championship-1,,
final_four,2,TBD,TBD,championship-1,,
championship,1,TBD,TBD,,,
